,Rooms,Distance,Landsize,Bathroom,Car,BuildingArea,Lattitude,Longtitude,Age,Price
4589,3,9.2,650.0,1.0,3.0,136.0,-37.8571,145.0766,88.0,1820000.0
4591,1,9.2,1097.0,1.0,1.0,38.0,-37.8576,145.0452,36.0,291000.0
4595,4,9.2,652.0,2.0,2.0,230.0,-37.8479,145.0557,93.0,2376000.0
4601,3,9.2,504.0,1.0,2.0,142.0,-37.8541,145.0544,98.0,1456000.0
4609,1,9.2,745.0,1.0,1.0,44.0,-37.8505,145.0459,48.0,345000.0
4610,5,9.2,696.0,3.0,1.0,248.0,-37.8563,145.0709,98.0,2000000.0
4617,2,9.2,84.0,1.0,1.0,84.0,-37.8517,145.0796,58.0,585000.0
4619,4,9.2,650.0,3.0,1.0,266.0,-37.8581,145.078,72.0,1700000.0
4628,3,9.2,328.0,2.0,2.0,176.0,-37.8529,145.0605,28.0,1375000.0
4630,2,9.2,334.0,1.0,2.0,115.0,-37.8577,145.0576,88.0,920000.0
4636,2,9.2,1069.0,1.0,1.0,33.0,-37.8547,145.0457,58.0,382000.0
4640,2,9.2,412.0,1.0,1.0,123.0,-37.8541,145.05100000000002,68.0,1280000.0
4645,5,9.2,802.0,4.0,4.0,206.0,-37.8627,145.0719,5.0,2825000.0
4646,3,9.2,885.0,2.0,4.0,217.0,-37.8577,145.0421,108.0,2825000.0
4648,4,9.2,366.0,3.0,2.0,26.0,-37.8503,145.0586,19.0,1825000.0
4655,5,9.2,778.0,3.0,3.0,326.0,-37.8582,145.0715,18.0,3085000.0
4667,2,9.2,718.0,2.0,2.0,184.0,-37.858000000000004,145.0696,68.0,1600000.0
4672,5,9.2,642.0,3.0,2.0,336.0,-37.859,145.0656,88.0,2352500.0
4673,5,9.2,830.0,4.0,2.0,520.0,-37.8563,145.072,9.0,3860000.0
4674,4,9.2,840.0,3.0,2.0,326.0,-37.8538,145.0641,88.0,2625000.0
4689,4,9.2,775.0,2.0,2.0,155.0,-37.8561,145.0934,58.0,1950000.0
4690,3,9.2,700.0,1.0,2.0,142.0,-37.8553,145.0711,88.0,2200000.0
4691,3,9.2,609.0,1.0,3.0,140.0,-37.8542,145.0733,88.0,1751000.0
4692,4,9.2,548.0,2.0,3.0,205.0,-37.8536,145.0547,88.0,1857000.0
4695,2,9.2,0.0,1.0,2.0,74.0,-37.8468,145.0515,78.0,720000.0
4696,3,9.2,401.0,1.0,3.0,107.0,-37.8471,145.05100000000002,83.0,1500000.0
4698,4,9.2,603.0,3.0,2.0,246.0,-37.8521,145.0657,11.0,2725000.0
4701,3,9.2,762.0,1.0,2.0,153.0,-37.8575,145.0554,88.0,2800000.0
4702,3,9.2,685.0,1.0,2.0,143.0,-37.8538,145.0842,77.0,1665000.0
4703,2,9.2,0.0,1.0,1.0,80.0,-37.8555,145.0518,58.0,600000.0
4705,3,9.2,615.0,1.0,2.0,607.0,-37.8578,145.0919,78.0,1420000.0
4715,5,9.2,654.0,2.0,2.0,354.0,-37.8515,145.0922,3.0,2410000.0
4719,4,9.2,645.0,2.0,2.0,216.0,-37.8516,145.061,88.0,2100000.0
4721,4,9.2,1485.0,2.0,2.0,295.0,-37.8509,145.0856,52.0,2950000.0
4724,5,9.2,1339.0,2.0,2.0,270.0,-37.8649,145.0547,93.0,3365000.0
4731,3,9.2,648.0,2.0,2.0,193.0,-37.8547,145.0771,43.0,1931000.0
4734,2,9.2,438.0,1.0,2.0,107.0,-37.8511,145.0428,108.0,1250000.0
4735,5,9.2,709.0,3.0,2.0,672.0,-37.8529,145.0806,88.0,2400000.0
4740,3,13.0,696.0,1.0,2.0,118.0,-37.6972,144.9431,58.0,610000.0
4746,3,13.0,640.0,1.0,3.0,144.0,-37.6979,144.9335,58.0,610000.0
4750,3,13.0,766.0,1.0,2.0,127.0,-37.6988,144.9372,53.0,806500.0
4758,4,13.0,683.0,2.0,1.0,138.0,-37.6964,144.9314,1.0,550000.0
4759,3,13.0,700.0,1.0,4.0,105.0,-37.6988,144.9438,68.0,822000.0
4761,3,13.0,1029.0,2.0,3.0,136.0,-37.7115,144.9147,68.0,980000.0
4767,2,13.0,164.0,1.0,1.0,100.0,-37.7072,144.9252,8.0,430000.0
4770,2,13.0,164.0,1.0,1.0,114.0,-37.7082,144.9178,8.0,540000.0
4777,3,13.0,640.0,1.0,4.0,97.0,-37.6986,144.9243,68.0,737000.0
4780,3,13.0,224.0,2.0,2.0,3.0,-37.702,144.9507,68.0,460000.0
4788,3,13.0,136.0,2.0,1.0,130.0,-37.7112,144.9142,4.0,545000.0
4791,3,13.0,734.0,1.0,4.0,140.0,-37.7007,144.9378,58.0,670000.0
4793,4,13.0,606.0,1.0,4.0,124.0,-37.7104,144.9088,62.0,702000.0
4794,2,13.0,705.0,1.0,1.0,115.0,-37.705999999999996,144.9245,68.0,730000.0
4798,3,13.0,667.0,1.0,3.0,81.0,-37.7005,144.9185,68.0,711500.0
4800,5,13.0,695.0,4.0,4.0,176.0,-37.7028,144.9377,68.0,810000.0
4804,2,13.0,0.0,1.0,1.0,61.0,-37.711,144.9178,48.0,250000.0
4805,3,13.0,325.0,1.0,1.0,106.0,-37.7001,144.9291,48.0,460000.0
4808,3,13.0,780.0,1.0,2.0,120.0,-37.7,144.9427,58.0,793000.0
4809,2,13.0,0.0,1.0,1.0,74.0,-37.7071,144.9176,48.0,340000.0
4814,3,13.0,320.0,1.0,1.0,130.0,-37.6949,144.9122,18.0,447500.0
4815,3,13.0,616.0,1.0,1.0,125.0,-37.7029,144.9053,58.0,588000.0
4819,3,13.0,0.0,1.0,2.0,96.0,-37.7025,144.9504,58.0,420000.0
4821,2,13.0,200.0,1.0,2.0,81.0,-37.7002,144.9428,18.0,410000.0
4826,3,13.0,665.0,1.0,1.0,85.0,-37.6966,144.9331,68.0,525000.0
4829,3,13.0,704.0,1.0,4.0,102.0,-37.7021,144.9136,58.0,703000.0
4830,4,13.0,252.0,2.0,1.0,150.0,-37.7006,144.9299,4.0,608000.0
4839,4,13.0,0.0,3.0,2.0,131.0,-37.7102,144.9112,4.0,607000.0
4840,3,13.0,780.0,2.0,2.0,180.0,-37.6955,144.9389,48.0,765500.0
4848,3,13.0,187.0,1.0,2.0,99.0,-37.7098,144.9163,4.0,470000.0
4852,3,13.0,650.0,1.0,2.0,142.0,-37.7002,144.9408,58.0,580000.0
4856,2,13.0,253.0,1.0,2.0,91.0,-37.7117,144.9135,6.0,620250.0
4858,3,13.0,796.0,1.0,1.0,104.0,-37.6955,144.9253,58.0,710000.0
4860,4,13.0,630.0,1.0,2.0,130.0,-37.7002,144.9232,58.0,630000.0
4863,3,13.0,541.0,1.0,4.0,139.0,-37.7051,144.9069,50.0,600000.0
4865,3,13.0,212.0,2.0,2.0,129.0,-37.7073,144.9277,8.0,550000.0
4869,4,13.0,586.0,1.0,2.0,159.0,-37.6975,144.9065,50.0,600000.0
4871,4,13.0,693.0,3.0,2.0,192.0,-37.7111,144.9275,4.0,1217500.0
4872,3,13.0,599.0,1.0,2.0,150.0,-37.7009,144.9291,58.0,600000.0
4875,3,13.0,585.0,2.0,2.0,146.0,-37.6977,144.9071,43.0,570000.0
4879,3,13.0,597.0,1.0,4.0,100.0,-37.7097,144.9351,58.0,762700.0
4880,2,13.0,176.0,1.0,1.0,89.0,-37.7081,144.912,6.0,465000.0
4881,2,13.0,668.0,1.0,1.0,88.0,-37.7067,144.9331,63.0,741250.0
4891,4,13.0,977.0,2.0,8.0,304.0,-37.7063,144.9273,83.0,1000000.0
4893,4,13.0,602.0,2.0,2.0,180.0,-37.7005,144.9258,68.0,630000.0
4897,3,13.0,705.0,1.0,3.0,135.0,-37.6967,144.9116,68.0,670000.0
4898,2,13.0,172.0,1.0,1.0,77.0,-37.7074,144.9086,5.0,417000.0
4899,3,13.0,258.0,1.0,2.0,143.0,-37.7047,144.9087,17.0,600000.0
4901,3,13.0,215.0,2.0,1.0,121.0,-37.6952,144.9256,8.0,440000.0
4903,3,13.0,657.0,1.0,2.0,116.0,-37.7019,144.9225,68.0,660000.0
4909,2,13.0,155.0,1.0,1.0,155.0,-37.6972,144.9239,18.0,270000.0
4910,4,13.0,768.0,2.0,4.0,194.0,-37.6979,144.9377,48.0,825000.0
4912,4,13.0,624.0,2.0,1.0,258.0,-37.6969,144.9334,13.0,638000.0
4913,3,13.6,608.0,2.0,2.0,138.0,-37.709,144.8925,17.0,631000.0
4914,3,13.6,149.0,2.0,1.0,19.0,-37.7068,144.8963,13.0,532000.0
4917,3,13.6,215.0,2.0,1.0,139.0,-37.709,144.8964,14.0,504000.0
4919,3,13.6,178.0,2.0,2.0,138.0,-37.7087,144.8962,18.0,468000.0
4921,4,13.6,0.0,2.0,2.0,264.0,-37.705,144.9004,13.0,802500.0
4922,4,13.6,453.0,2.0,2.0,213.0,-37.7016,144.8974,11.0,709000.0
4924,3,13.6,175.0,2.0,1.0,134.0,-37.7076,144.8961,14.0,485000.0
4927,3,13.6,367.0,2.0,1.0,141.0,-37.704,144.8989,10.0,540000.0
4929,3,13.6,158.0,2.0,1.0,136.0,-37.7091,144.8958,13.0,390000.0
4932,4,13.6,719.0,2.0,2.0,251.0,-37.7062,144.8978,18.0,800000.0
4934,4,13.6,453.0,2.0,2.0,213.0,-37.7016,144.8974,11.0,740000.0
4936,3,12.1,597.0,1.0,2.0,116.0,-37.711,144.9478,58.0,605000.0
4938,3,12.1,724.0,1.0,2.0,103.0,-37.7076,144.9481,48.0,685500.0
4939,2,12.1,394.0,1.0,1.0,98.0,-37.7153,144.9507,68.0,610000.0
4940,3,12.1,604.0,1.0,1.0,112.0,-37.7124,144.9514,48.0,630000.0
4941,4,12.1,591.0,3.0,5.0,268.0,-37.7127,144.9489,8.0,870000.0
4942,3,12.1,592.0,2.0,2.0,129.0,-37.7149,144.9473,68.0,810000.0
4950,2,12.1,198.0,1.0,2.0,96.0,-37.7132,144.9488,8.0,487000.0
4951,4,12.1,700.0,2.0,2.0,168.0,-37.7056,144.9384,68.0,700000.0
4952,4,12.1,462.0,2.0,1.0,161.0,-37.7062,144.9387,48.0,600500.0
4954,3,12.1,570.0,1.0,2.0,134.0,-37.7106,144.9491,48.0,730000.0
4955,3,12.1,565.0,2.0,2.0,116.0,-37.7094,144.9377,58.0,800000.0
4958,3,12.1,301.0,2.0,2.0,251.0,-37.715,144.9475,7.0,750000.0
4959,3,12.1,568.0,1.0,1.0,115.0,-37.7077,144.9438,58.0,740000.0
4962,3,12.1,574.0,1.0,2.0,106.0,-37.7157,144.9507,48.0,646000.0
4963,3,12.1,230.0,2.0,3.0,113.0,-37.7073,144.9486,18.0,545000.0
4965,4,12.1,700.0,1.0,2.0,176.0,-37.704,144.9399,58.0,777000.0
4967,2,12.1,580.0,3.0,1.0,103.0,-37.7098,144.9424,68.0,722000.0
4968,2,12.1,591.0,1.0,3.0,102.0,-37.7128,144.9471,58.0,545000.0
4971,3,12.1,234.0,2.0,2.0,115.0,-37.707,144.9411,6.0,510000.0
4973,3,12.1,593.0,1.0,3.0,95.0,-37.7133,144.947,53.0,631500.0
4976,3,12.1,610.0,1.0,3.0,142.0,-37.7107,144.9419,58.0,550000.0
4977,2,12.1,249.0,1.0,1.0,2.0,-37.714,144.939,48.0,330000.0
4983,2,12.1,613.0,1.0,1.0,92.0,-37.7099,144.938,58.0,715888.0
4985,2,12.1,137.0,1.0,1.0,110.0,-37.707,144.9413,6.0,468000.0
4991,2,12.1,345.0,1.0,2.0,79.0,-37.7128,144.9496,28.0,515000.0
4995,2,13.7,228.0,1.0,1.0,87.0,-37.9355,145.0008,43.0,895000.0
4996,2,13.7,0.0,1.0,1.0,74.0,-37.9419,145.0019,43.0,587000.0
4997,4,13.7,701.0,3.0,2.0,320.0,-37.9419,145.0152,3.0,2800000.0
4999,4,13.7,928.0,3.0,2.0,300.0,-37.9389,145.0062,114.0,3250000.0
5001,4,13.7,688.0,2.0,3.0,187.0,-37.9319,145.0173,93.0,2140000.0
5003,4,13.7,607.0,2.0,2.0,242.0,-37.9324,145.0235,7.0,1600000.0
5006,3,13.7,289.0,1.0,2.0,109.0,-37.9338,145.0226,20.0,1003500.0
5007,2,13.7,0.0,1.0,1.0,85.0,-37.939,145.0137,53.0,802000.0
5012,3,13.7,593.0,1.0,3.0,125.0,-37.9399,145.0204,63.0,1560000.0
5021,2,13.7,90.0,1.0,1.0,86.0,-37.9389,145.0186,33.0,760000.0
5022,2,13.7,0.0,1.0,1.0,104.0,-37.9373,145.0027,13.0,616000.0
5023,4,13.7,723.0,1.0,1.0,90.0,-37.9437,145.0175,63.0,1680000.0
5028,3,13.7,373.0,2.0,3.0,113.0,-37.9395,145.0088,34.0,1120000.0
5031,4,13.7,760.0,3.0,3.0,325.0,-37.9326,144.9997,98.0,3200000.0
5032,4,13.7,398.0,3.0,2.0,220.0,-37.9381,145.0161,4.0,1250000.0
5034,4,13.7,615.0,3.0,4.0,248.0,-37.9429,145.0072,93.0,2000000.0
5036,5,13.7,700.0,2.0,2.0,224.0,-37.9419,145.0156,68.0,1805000.0
5046,4,13.7,1504.0,1.0,2.0,162.0,-37.944,145.0015,118.0,2600000.0
5050,5,13.7,670.0,3.0,4.0,413.0,-37.9427,145.0085,10.0,3470000.0
5056,3,13.7,357.0,2.0,2.0,120.0,-37.9449,145.0144,48.0,1050000.0
5058,3,13.7,195.0,1.0,1.0,115.0,-37.9396,145.0156,58.0,810000.0
5061,3,13.7,413.0,2.0,2.0,137.0,-37.933,144.9975,48.0,1460000.0
5067,5,13.7,830.0,2.0,2.0,204.0,-37.9386,145.006,117.0,3075000.0
5070,2,13.7,225.0,2.0,1.0,118.0,-37.9442,145.0018,48.0,875500.0
5074,5,13.7,1000.0,4.0,2.0,324.0,-37.9332,145.0226,68.0,2600000.0
5077,5,13.7,648.0,2.0,2.0,364.0,-37.946,145.0181,68.0,1705000.0
5086,4,13.7,611.0,2.0,0.0,613.0,-37.9446,145.0201,68.0,1515000.0
5087,5,13.7,694.0,3.0,2.0,323.0,-37.9372,145.0101,7.0,2980000.0
5091,4,13.7,583.0,3.0,4.0,305.0,-37.9336,144.9999,18.0,2200000.0
5094,3,13.7,355.0,2.0,1.0,140.0,-37.9391,145.012,31.0,1100000.0
5097,4,13.7,627.0,3.0,2.0,303.0,-37.9449,145.0068,21.0,3325000.0
5099,2,13.7,0.0,2.0,1.0,70.0,-37.9462,145.0212,11.0,450000.0
5104,2,13.7,0.0,1.0,1.0,61.0,-37.9436,145.0027,48.0,500000.0
5105,4,13.7,562.0,3.0,2.0,228.0,-37.9369,145.0163,68.0,1460000.0
5112,4,13.7,414.0,3.0,2.0,209.0,-37.9401,145.0083,68.0,1740000.0
5114,4,13.7,667.0,2.0,1.0,184.0,-37.9315,145.0109,83.0,1800000.0
5120,4,13.7,577.0,2.0,1.0,231.0,-37.9382,144.9997,78.0,2160000.0
5126,4,13.7,647.0,2.0,2.0,260.0,-37.9407,145.0104,93.0,2250000.0
5128,4,13.7,714.0,2.0,2.0,188.0,-37.9446,145.0092,93.0,2130000.0
5135,2,14.5,0.0,1.0,1.0,75.0,-37.9367,145.0322,58.0,400000.0
5155,3,14.5,393.0,2.0,2.0,140.0,-37.9431,145.0267,68.0,926000.0
5156,3,14.5,583.0,1.0,3.0,106.0,-37.9428,145.0296,48.0,1070000.0
5157,2,14.5,217.0,1.0,1.0,107.0,-37.9432,145.0348,24.0,801000.0
5160,3,14.5,0.0,2.0,1.0,3.0,-37.9355,145.0276,13.0,1150000.0
5162,2,14.5,215.0,1.0,1.0,68.0,-37.933,145.0322,11.0,472000.0
5171,3,14.5,586.0,2.0,2.0,150.0,-37.9431,145.0274,68.0,1300000.0
5173,4,14.5,0.0,2.0,2.0,154.0,-37.9405,145.0346,16.0,1200000.0
5179,4,4.6,317.0,2.0,2.0,210.0,-37.8344,145.0422,13.0,1650000.0
5181,4,4.6,336.0,2.0,1.0,235.0,-37.8183,145.0371,113.0,2670000.0
5185,1,4.6,0.0,1.0,1.0,53.0,-37.8303,145.0341,68.0,348000.0
5189,3,4.6,181.0,1.0,1.0,122.0,-37.8243,145.0328,49.0,1189000.0
5190,2,4.6,85.0,2.0,1.0,82.0,-37.8154,145.0369,4.0,610000.0
5194,1,4.6,0.0,1.0,1.0,63.0,-37.8299,145.0422,23.0,492000.0
5196,2,4.6,0.0,1.0,1.0,64.0,-37.8249,145.0342,88.0,806000.0
5203,3,4.6,460.0,2.0,1.0,176.0,-37.8155,145.019,78.0,2000000.0
5210,2,4.6,0.0,1.0,2.0,88.0,-37.8186,145.017,58.0,753000.0
5211,1,4.6,0.0,1.0,1.0,52.0,-37.8177,145.0424,48.0,330000.0
5213,3,4.6,218.0,1.0,0.0,108.0,-37.8214,145.0437,128.0,1420000.0
5217,2,4.6,0.0,1.0,1.0,60.0,-37.8216,145.0343,4.0,495000.0
5219,1,4.6,0.0,1.0,0.0,56.0,-37.8294,145.0382,52.0,292000.0
5222,2,4.6,1089.0,1.0,1.0,76.0,-37.8143,145.0322,15.0,580000.0
5223,3,4.6,341.0,2.0,1.0,155.0,-37.8236,145.0425,80.0,1300000.0
5224,3,4.6,232.0,1.0,0.0,90.0,-37.8173,145.0252,118.0,1300000.0
5232,2,4.6,0.0,1.0,1.0,52.0,-37.8192,145.0385,48.0,440000.0
5233,3,4.6,0.0,3.0,2.0,145.0,-37.8144,145.0153,19.0,1000000.0
5237,3,4.6,383.0,1.0,1.0,109.0,-37.8155,145.0385,108.0,1741000.0
5241,2,4.6,0.0,1.0,1.0,78.0,-37.8343,145.0364,58.0,655000.0
5243,1,4.6,0.0,1.0,1.0,57.0,-37.8272,145.0343,14.0,488000.0
5252,3,4.6,351.0,1.0,1.0,150.0,-37.8165,145.02100000000002,108.0,2065000.0
5254,1,4.6,0.0,1.0,1.0,51.0,-37.8208,145.0456,58.0,350000.0
5258,3,4.6,342.0,1.0,1.0,130.0,-37.814,145.0212,118.0,1712000.0
5261,1,4.6,0.0,1.0,1.0,50.0,-37.8128,145.0171,78.0,480000.0
5265,4,4.6,665.0,2.0,2.0,220.0,-37.814,145.0175,128.0,3225000.0
5274,1,4.6,0.0,1.0,1.0,41.0,-37.8155,145.0161,68.0,400000.0
5275,4,4.6,207.0,2.0,3.0,180.0,-37.8271,145.0243,16.0,1650000.0
5276,5,4.6,1236.0,2.0,3.0,340.0,-37.8257,145.0321,128.0,3950000.0
5278,2,4.6,1099.0,1.0,1.0,72.0,-37.8271,145.0347,53.0,587500.0
5279,2,4.6,0.0,1.0,1.0,70.0,-37.8268,145.0344,5.0,560000.0
5282,4,4.6,218.0,2.0,1.0,173.0,-37.8142,145.0252,128.0,1936000.0
5283,5,4.6,1275.0,4.0,3.0,435.0,-37.8291,145.0308,88.0,4250000.0
5288,3,4.6,0.0,1.0,1.0,75.0,-37.8153,145.02100000000002,48.0,630000.0
5289,3,4.6,198.0,2.0,0.0,148.0,-37.8169,145.0234,108.0,1560000.0
5292,3,4.6,0.0,2.0,2.0,88.0,-37.8268,145.0344,4.0,840000.0
5293,3,4.6,88.0,3.0,2.0,178.0,-37.824,145.0427,7.0,1780000.0
5300,2,4.6,0.0,1.0,1.0,93.0,-37.8184,145.0163,78.0,815000.0
5303,3,4.6,0.0,2.0,1.0,196.0,-37.8235,145.029,8.0,1975000.0
5310,2,4.6,728.0,1.0,1.0,73.0,-37.8177,145.0424,53.0,657500.0
5312,4,4.6,905.0,4.0,2.0,373.0,-37.8168,145.0321,105.0,5050000.0
5313,1,4.6,0.0,1.0,1.0,52.0,-37.8261,145.0269,48.0,445000.0
5315,3,4.6,218.0,1.0,3.0,92.0,-37.8176,145.0204,118.0,1180000.0
5316,2,4.6,0.0,1.0,1.0,70.0,-37.813,145.0207,48.0,470000.0
5317,2,4.6,0.0,1.0,1.0,76.0,-37.8226,145.0368,13.0,485000.0
5320,4,4.6,601.0,2.0,4.0,158.0,-37.839,145.0418,78.0,1800000.0
5323,3,4.6,304.0,1.0,1.0,125.0,-37.8253,145.0287,118.0,1855000.0
5326,2,4.6,0.0,1.0,3.0,70.0,-37.8183,145.0194,53.0,665000.0
5329,3,4.6,199.0,1.0,1.0,103.0,-37.8172,145.0243,128.0,1551000.0
5335,2,4.6,859.0,1.0,1.0,71.0,-37.8183,145.0423,58.0,612500.0
5336,3,4.6,249.0,2.0,0.0,171.0,-37.8169,145.02100000000002,128.0,2410000.0
5340,2,4.6,0.0,1.0,1.0,82.0,-37.8142,145.0308,17.0,715000.0
5345,2,4.6,191.0,2.0,1.0,151.0,-37.813,145.0167,43.0,1055000.0
5346,4,4.6,410.0,2.0,2.0,275.0,-37.8246,145.026,128.0,1976000.0
5349,1,4.6,0.0,1.0,1.0,56.0,-37.8158,145.0342,58.0,499000.0
5350,2,4.6,0.0,1.0,1.0,85.0,-37.8157,145.0273,48.0,495000.0
5351,5,4.6,827.0,3.0,2.0,344.0,-37.8144,145.0279,98.0,3750000.0
5353,3,4.6,164.0,2.0,1.0,126.0,-37.8159,145.0219,128.0,1400000.0
5354,1,4.6,0.0,1.0,1.0,44.0,-37.8222,145.0329,4.0,370000.0
5355,2,4.6,0.0,2.0,2.0,89.0,-37.8213,145.0224,18.0,627500.0
5364,2,10.5,589.0,1.0,2.0,120.0,-37.7501,145.0505,88.0,815000.0
5372,2,10.5,201.0,2.0,1.0,107.0,-37.7426,145.0556,11.0,565000.0
5381,3,10.5,807.0,2.0,2.0,192.0,-37.7453,145.0559,68.0,994000.0
5386,3,10.5,592.0,1.0,0.0,130.0,-37.7477,145.0481,68.0,785000.0
5388,3,10.5,215.0,2.0,2.0,118.0,-37.7424,145.0519,13.0,620000.0
5390,3,10.5,250.0,2.0,2.0,125.0,-37.7449,145.0523,6.0,706750.0
5392,2,10.5,428.0,1.0,1.0,84.0,-37.7418,145.0513,68.0,584000.0
5393,3,10.5,585.0,2.0,2.0,134.0,-37.7358,145.0546,58.0,909000.0
5394,4,10.5,724.0,2.0,2.0,161.0,-37.7404,145.0582,58.0,1086000.0
5396,2,10.5,605.0,1.0,1.0,78.0,-37.7365,145.0545,68.0,680000.0
5399,2,10.5,620.0,1.0,3.0,85.0,-37.7377,145.0541,68.0,650000.0
5400,5,10.5,596.0,2.0,2.0,172.0,-37.7487,145.0522,46.0,890000.0
5401,3,10.5,582.0,1.0,2.0,90.0,-37.7422,145.05,63.0,650000.0
5408,2,10.5,166.0,1.0,1.0,87.0,-37.7416,145.0567,10.0,605000.0
5409,8,10.5,638.0,4.0,4.0,115.0,-37.7426,145.048,58.0,770000.0
5410,3,10.5,800.0,1.0,2.0,118.0,-37.7406,145.0483,58.0,950000.0
5411,4,10.5,722.0,1.0,2.0,208.0,-37.7477,145.0565,43.0,856000.0
5412,3,10.5,251.0,2.0,2.0,200.0,-37.7358,145.0559,6.0,600000.0
5421,3,10.5,748.0,1.0,1.0,101.0,-37.7416,145.0481,68.0,915000.0
5422,2,10.5,127.0,1.0,1.0,83.0,-37.747,145.0575,48.0,400000.0
5426,3,10.5,420.0,1.0,1.0,90.0,-37.7363,145.0506,58.0,550000.0
5428,2,10.5,586.0,1.0,2.0,80.0,-37.7435,145.0486,63.0,590000.0
5429,2,10.5,932.0,1.0,3.0,97.0,-37.7333,145.0588,68.0,920000.0
5430,2,10.5,508.0,1.0,2.0,79.0,-37.7428,145.0557,63.0,460000.0
5432,4,10.5,592.0,2.0,1.0,191.0,-37.7478,145.0477,68.0,1000500.0
5433,3,10.5,596.0,1.0,1.0,99.0,-37.7432,145.0479,58.0,631000.0
5436,3,9.4,624.0,1.0,2.0,86.0,-37.7456,145.0397,53.0,691000.0
5437,3,9.4,523.0,1.0,1.0,87.0,-37.7369,145.0376,58.0,560000.0
5446,2,9.4,100.0,1.0,1.0,90.0,-37.7383,145.036,5.0,370000.0
5447,3,9.4,390.0,1.0,1.0,86.0,-37.7369,145.0422,63.0,532000.0
5458,2,9.4,331.0,1.0,1.0,111.0,-37.7441,145.0379,58.0,515500.0
5459,3,9.4,633.0,1.0,3.0,88.0,-37.746,145.0422,68.0,800000.0
5463,2,9.4,668.0,1.0,2.0,88.0,-37.7389,145.0393,68.0,620000.0
5465,2,9.4,89.0,1.0,1.0,85.0,-37.7444,145.047,48.0,360000.0
5466,2,9.4,368.0,1.0,1.0,81.0,-37.7341,145.0434,63.0,440500.0
5467,4,9.4,632.0,1.0,1.0,152.0,-37.7466,145.0428,63.0,758000.0
5474,3,9.4,338.0,1.0,1.0,13.0,-37.739000000000004,145.0481,38.0,480000.0
5475,4,9.4,521.0,2.0,2.0,196.0,-37.738,145.0374,28.0,715000.0
5477,3,9.4,616.0,1.0,2.0,18.0,-37.747,145.0389,53.0,646250.0
5478,3,9.4,368.0,1.0,1.0,106.0,-37.7344,145.04399999999998,58.0,1375000.0
5481,3,9.4,593.0,1.0,2.0,99.0,-37.7386,145.0387,68.0,722000.0
5487,2,9.4,632.0,1.0,3.0,77.0,-37.7443,145.0462,58.0,725000.0
5495,3,9.4,413.0,1.0,1.0,85.0,-37.7399,145.0369,58.0,465000.0
5498,2,13.0,732.0,1.0,1.0,97.0,-37.8931,145.0791,68.0,1550000.0
5499,2,13.0,0.0,1.0,1.0,76.0,-37.8967,145.0858,48.0,516000.0
5501,3,13.0,705.0,1.0,1.0,128.0,-37.8994,145.0816,98.0,1340000.0
5503,3,13.0,715.0,1.0,2.0,126.0,-37.9072,145.0762,69.0,1316000.0
5504,3,13.0,206.0,2.0,1.0,118.0,-37.8966,145.0863,16.0,828000.0
5506,3,13.0,562.0,1.0,1.0,97.0,-37.9022,145.0811,88.0,1055000.0
5508,2,13.0,101.0,1.0,1.0,90.0,-37.8988,145.0781,48.0,623000.0
5509,4,13.0,847.0,2.0,2.0,315.0,-37.8927,145.0781,93.0,2120000.0
5510,4,13.0,547.0,2.0,1.0,185.0,-37.9002,145.0768,93.0,1745000.0
5512,4,13.0,545.0,2.0,2.0,180.0,-37.9002,145.0773,78.0,1700000.0
5513,2,13.0,0.0,1.0,1.0,70.0,-37.9008,145.0859,8.0,420000.0
5520,4,13.0,696.0,1.0,2.0,100.0,-37.8991,145.0804,88.0,1337000.0
5521,2,13.0,0.0,1.0,2.0,60.0,-37.8942,145.0867,58.0,455000.0
5523,2,13.0,100.0,1.0,1.0,88.0,-37.8945,145.0876,43.0,400000.0
5527,3,13.0,730.0,1.0,2.0,122.0,-37.9034,145.0796,78.0,1210000.0
5530,4,13.0,678.0,2.0,1.0,184.0,-37.898,145.0815,68.0,1167500.0
5531,3,13.0,360.0,2.0,1.0,154.0,-37.8937,145.0779,43.0,900000.0
5533,2,13.0,575.0,1.0,4.0,83.0,-37.9084,145.0775,68.0,677500.0
5540,4,7.9,925.0,2.0,2.0,208.0,-37.7652,145.041,93.0,2265000.0
5546,3,7.9,626.0,3.0,2.0,378.0,-37.76,145.0326,2.0,981000.0
5547,4,7.9,1252.0,2.0,2.0,201.0,-37.7727,145.0484,98.0,2400000.0
5548,3,7.9,249.0,2.0,2.0,140.0,-37.766,145.0345,13.0,890000.0
5552,2,7.9,648.0,1.0,1.0,91.0,-37.7702,145.0493,53.0,739000.0
5555,3,7.9,399.0,2.0,0.0,110.0,-37.7551,145.05,68.0,785000.0
5556,3,7.9,537.0,1.0,2.0,170.0,-37.7773,145.0379,73.0,1155000.0
5559,2,7.9,557.0,1.0,1.0,78.0,-37.7568,145.0355,63.0,1020000.0
5562,3,7.9,630.0,1.0,2.0,126.0,-37.7635,145.039,58.0,1465000.0
5563,3,7.9,0.0,2.0,2.0,130.0,-37.765,145.0422,38.0,855000.0
5566,1,7.9,845.0,1.0,1.0,59.0,-37.7591,145.0501,58.0,413000.0
5569,3,7.9,687.0,1.0,1.0,110.0,-37.7634,145.0361,43.0,1220000.0
